"gi","accession","product_length","mismatch_forward","mismatch_reverse","forward_start","forward_stop","reverse_start","reverse_stop","product_start","product_stop","amplicon_length","taxID","species","superkingdom","kingdom","phylum","subphylum","superclass","class","subclass","order","family","subfamily","genus","infraorder","subcohort","superorder","superfamily","tribe","subspecies","subgenus","species group","parvorder","varietas"
NA,"LC685941.1",135,0,0,501,484,367,384,367,501,99,"163146","Microcanthus strigatus","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Centrarchiformes","Kyphosidae","Microcanthinae","Microcanthus",NA,NA,NA,"Terapontoidei",NA,NA,NA,NA,NA,NA
NA,"NC_062700.1",135,0,0,627,610,493,510,493,627,99,"2931992","Coreoperca liui","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Centrarchiformes","Sinipercidae",NA,"Coreoperca",NA,NA,NA,"Centrarchoidei",NA,NA,NA,NA,NA,NA
NA,"OV522636.1",135,0,1,563,580,697,680,563,697,99,"318676","Australoheros facetus","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Cichliformes","Cichlidae","Cichlasomatinae","Australoheros",NA,NA,"Cichlomorphae",NA,"Heroini",NA,NA,NA,NA,NA
NA,"OV522637.1",135,0,0,592,609,726,709,592,726,99,"278165","Alosa fallax","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Clupeiformes","Clupeidae","Alosinae","Alosa",NA,"Clupei",NA,NA,NA,NA,NA,NA,NA,NA
NA,"LC631940.1",136,0,0,635,618,500,517,500,635,100,"80782","Acheilognathus longipinnis","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Cypriniformes","Acheilognathidae",NA,"Acheilognathus",NA,"Ostariophysi","Cypriniphysae",NA,NA,NA,NA,NA,NA,NA
NA,"NC_062659.1",135,0,0,630,613,496,513,496,630,99,"191207","Parabotia lijiangensis","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Cypriniformes","Botiidae",NA,"Parabotia",NA,"Ostariophysi","Cypriniphysae",NA,NA,NA,NA,NA,NA,NA
NA,"NC_062730.1",135,0,0,631,614,497,514,497,631,99,"322121","Syncrossus berdmorei","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Cypriniformes","Botiidae",NA,"Syncrossus",NA,"Ostariophysi","Cypriniphysae",NA,NA,NA,NA,NA,NA,NA
NA,"OV522641.1",135,0,0,563,580,697,680,563,697,99,"66299","Cobitis paludica","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Cypriniformes","Cobitidae","Cobitinae","Cobitis",NA,"Ostariophysi","Cypriniphysae",NA,NA,NA,NA,NA,NA,NA
NA,"OV522640.1",135,0,0,585,602,719,702,585,719,99,"66299","Cobitis paludica","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Cypriniformes","Cobitidae","Cobitinae","Cobitis",NA,"Ostariophysi","Cypriniphysae",NA,NA,NA,NA,NA,NA,NA
NA,"OV522639.1",135,0,0,563,580,697,680,563,697,99,"66299","Cobitis paludica","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Cypriniformes","Cobitidae","Cobitinae","Cobitis",NA,"Ostariophysi","Cypriniphysae",NA,NA,NA,NA,NA,NA,NA
NA,"LC685942.1",135,0,0,503,486,369,386,369,503,99,"1828407","Cobitis sp. BIWAE type B","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Cypriniformes","Cobitidae","Cobitinae","Cobitis",NA,"Ostariophysi","Cypriniphysae",NA,NA,NA,NA,NA,NA,NA
NA,"OW387167.1",136,0,0,631,614,496,513,496,631,100,"40830","Barbus barbus","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Cypriniformes","Cyprinidae","Barbinae","Barbus",NA,"Ostariophysi","Cypriniphysae",NA,NA,NA,NA,NA,NA,NA
NA,"MT909814.1",136,0,0,687,670,552,569,552,687,100,"84645","Labeo rohita","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Cypriniformes","Cyprinidae","Labeoninae","Labeo",NA,"Ostariophysi","Cypriniphysae",NA,"Labeonini",NA,NA,NA,NA,NA
NA,"OV522651.1",136,0,0,549,566,684,667,549,684,100,"41246","Luciobarbus bocagei","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Cypriniformes","Cyprinidae","Barbinae","Luciobarbus",NA,"Ostariophysi","Cypriniphysae",NA,NA,NA,NA,NA,NA,NA
NA,"OV522650.1",136,0,0,549,566,684,667,549,684,100,"41246","Luciobarbus bocagei","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Cypriniformes","Cyprinidae","Barbinae","Luciobarbus",NA,"Ostariophysi","Cypriniphysae",NA,NA,NA,NA,NA,NA,NA
NA,"OV522649.1",136,0,0,548,565,683,666,548,683,100,"41246","Luciobarbus bocagei","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Cypriniformes","Cyprinidae","Barbinae","Luciobarbus",NA,"Ostariophysi","Cypriniphysae",NA,NA,NA,NA,NA,NA,NA
NA,"OV522653.1",136,0,0,538,555,673,656,538,673,100,"1483055","Luciobarbus comizo","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Cypriniformes","Cyprinidae","Barbinae","Luciobarbus",NA,"Ostariophysi","Cypriniphysae",NA,NA,NA,NA,NA,NA,NA
NA,"OV522652.1",136,0,0,542,559,677,660,542,677,100,"1483055","Luciobarbus comizo","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Cypriniformes","Cyprinidae","Barbinae","Luciobarbus",NA,"Ostariophysi","Cypriniphysae",NA,NA,NA,NA,NA,NA,NA
NA,"OV522656.1",136,0,0,538,555,673,656,538,673,100,"77797","Luciobarbus steindachneri","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Cypriniformes","Cyprinidae","Barbinae","Luciobarbus",NA,"Ostariophysi","Cypriniphysae",NA,NA,NA,NA,NA,NA,NA
NA,"OV522655.1",136,0,0,538,555,673,656,538,673,100,"77797","Luciobarbus steindachneri","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Cypriniformes","Cyprinidae","Barbinae","Luciobarbus",NA,"Ostariophysi","Cypriniphysae",NA,NA,NA,NA,NA,NA,NA
NA,"OV522654.1",136,0,0,555,572,690,673,555,690,100,"77797","Luciobarbus steindachneri","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Cypriniformes","Cyprinidae","Barbinae","Luciobarbus",NA,"Ostariophysi","Cypriniphysae",NA,NA,NA,NA,NA,NA,NA
NA,"NC_062732.1",136,0,0,632,615,497,514,497,632,100,"192372","Mystacoleucus lepturus","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Cypriniformes","Cyprinidae",NA,"Mystacoleucus",NA,"Ostariophysi","Cypriniphysae",NA,NA,NA,NA,NA,NA,NA
NA,"NC_062665.1",136,0,0,634,617,499,516,499,634,100,"1620464","Neolissochilus hendersoni","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Cypriniformes","Cyprinidae","Torinae","Neolissochilus",NA,"Ostariophysi","Cypriniphysae",NA,NA,NA,NA,NA,NA,NA
NA,"OM203154.1",136,0,0,634,617,499,516,499,634,100,"464752","Neolissochilus soroides","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Cypriniformes","Cyprinidae","Torinae","Neolissochilus",NA,"Ostariophysi","Cypriniphysae",NA,NA,NA,NA,NA,NA,NA
NA,"OM203155.1",136,0,0,634,617,499,516,499,634,100,"370369","Neolissochilus stracheyi","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Cypriniformes","Cyprinidae","Torinae","Neolissochilus",NA,"Ostariophysi","Cypriniphysae",NA,NA,NA,NA,NA,NA,NA
NA,"MW548262.1",135,0,0,631,614,497,514,497,631,99,"307947","Sinocyclocheilus angustiporus","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Cypriniformes","Cyprinidae","Cyprininae","Sinocyclocheilus",NA,"Ostariophysi","Cypriniphysae",NA,NA,NA,NA,NA,NA,NA
NA,"MW548263.1",135,0,0,631,614,497,514,497,631,99,"307941","Sinocyclocheilus oxycephalus","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Cypriniformes","Cyprinidae","Cyprininae","Sinocyclocheilus",NA,"Ostariophysi","Cypriniphysae",NA,NA,NA,NA,NA,NA,NA
NA,"MW548264.1",136,0,0,632,615,497,514,497,632,100,"509856","Sinocyclocheilus purpureus","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Cypriniformes","Cyprinidae","Cyprininae","Sinocyclocheilus",NA,"Ostariophysi","Cypriniphysae",NA,NA,NA,NA,NA,NA,NA
NA,"MW548265.1",136,0,0,632,615,497,514,497,632,100,"2651313","Sinocyclocheilus qiubeiensis","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Cypriniformes","Cyprinidae","Cyprininae","Sinocyclocheilus",NA,"Ostariophysi","Cypriniphysae",NA,NA,NA,NA,NA,NA,NA
NA,"MW553076.1",136,0,0,632,615,497,514,497,632,100,"2909343","Sinocyclocheilus wenshanensis","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Cypriniformes","Cyprinidae","Cyprininae","Sinocyclocheilus",NA,"Ostariophysi","Cypriniphysae",NA,NA,NA,NA,NA,NA,NA
NA,"OK505795.1",136,0,0,15923,15940,16058,16041,15923,16058,100,"370370","Tor tambra","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Cypriniformes","Cyprinidae","Torinae","Tor",NA,"Ostariophysi","Cypriniphysae",NA,NA,NA,NA,NA,NA,NA
NA,"OK442459.1",136,0,0,805,788,670,687,670,805,100,"370370","Tor tambra","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Cypriniformes","Cyprinidae","Torinae","Tor",NA,"Ostariophysi","Cypriniphysae",NA,NA,NA,NA,NA,NA,NA
NA,"NC_062787.1",134,0,1,632,615,499,516,499,632,98,"198510","Barilius barila","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Cypriniformes","Danionidae","Chedrinae","Barilius",NA,"Ostariophysi","Cypriniphysae",NA,NA,NA,NA,NA,NA,NA
NA,"NC_062729.1",134,0,0,636,619,503,520,503,636,98,"496981","Devario kakhienensis","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Cypriniformes","Danionidae","Danioninae","Devario",NA,"Ostariophysi","Cypriniphysae",NA,NA,NA,NA,NA,NA,NA
NA,"NC_062725.1",134,0,0,635,618,502,519,502,635,98,"299715","Devario shanensis","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Cypriniformes","Danionidae","Danioninae","Devario",NA,"Ostariophysi","Cypriniphysae",NA,NA,NA,NA,NA,NA,NA
NA,"NC_062788.1",134,0,1,632,615,499,516,499,632,98,"857705","Opsarius caudiocellatus","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Cypriniformes","Danionidae","Chedrinae","Opsarius",NA,"Ostariophysi","Cypriniphysae",NA,NA,NA,NA,NA,NA,NA
NA,"NC_062785.1",134,0,0,631,614,498,515,498,631,98,"2920503","Rasbora atridorsalis","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Cypriniformes","Danionidae","Rasborinae","Rasbora",NA,"Ostariophysi","Cypriniphysae",NA,NA,NA,NA,NA,NA,NA
NA,"NC_060584.1",134,0,0,633,616,500,517,500,633,98,"1812289","Rasbora myersi","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Cypriniformes","Danionidae","Rasborinae","Rasbora",NA,"Ostariophysi","Cypriniphysae",NA,NA,NA,NA,NA,NA,NA
NA,"OV522642.1",136,0,0,571,588,706,689,571,706,100,"1483034","Gobio lozanoi","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Cypriniformes","Gobionidae","Gobioninae","Gobio",NA,"Ostariophysi","Cypriniphysae",NA,NA,NA,NA,NA,NA,NA
NA,"LC685926.1",136,0,0,506,489,371,388,371,506,100,"418128","Pseudogobio esocinus","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Cypriniformes","Gobionidae","Gobioninae","Pseudogobio",NA,"Ostariophysi","Cypriniphysae",NA,NA,NA,NA,NA,NA,NA
NA,"OV522647.1",136,0,0,573,590,708,691,573,708,100,"236538","Achondrostoma oligolepis","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Cypriniformes","Leuciscidae","Leuciscinae","Achondrostoma",NA,"Ostariophysi","Cypriniphysae",NA,NA,NA,NA,NA,NA,NA
NA,"OV522646.1",136,0,0,582,599,717,700,582,717,100,"236538","Achondrostoma oligolepis","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Cypriniformes","Leuciscidae","Leuciscinae","Achondrostoma",NA,"Ostariophysi","Cypriniphysae",NA,NA,NA,NA,NA,NA,NA
NA,"OV522638.1",136,0,0,585,602,720,703,585,720,100,"236538","Achondrostoma oligolepis","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Cypriniformes","Leuciscidae","Leuciscinae","Achondrostoma",NA,"Ostariophysi","Cypriniphysae",NA,NA,NA,NA,NA,NA,NA
NA,"OV522644.1",136,0,0,578,595,713,696,578,713,100,"77799","Iberochondrostoma lusitanicum","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Cypriniformes","Leuciscidae","Leuciscinae","Iberochondrostoma",NA,"Ostariophysi","Cypriniphysae",NA,NA,NA,NA,NA,NA,NA
NA,"OV522648.1",136,0,0,582,599,717,700,582,717,100,"475767","Iberochondrostoma olisiponensis","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Cypriniformes","Leuciscidae","Leuciscinae","Iberochondrostoma",NA,"Ostariophysi","Cypriniphysae",NA,NA,NA,NA,NA,NA,NA
NA,"OV522645.1",136,0,0,579,596,714,697,579,714,100,"475767","Iberochondrostoma olisiponensis","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Cypriniformes","Leuciscidae","Leuciscinae","Iberochondrostoma",NA,"Ostariophysi","Cypriniphysae",NA,NA,NA,NA,NA,NA,NA
NA,"OM718772.1",136,0,0,636,619,501,518,501,636,100,"51138","Pimephales notatus","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Cypriniformes","Leuciscidae","Pogonichthyinae","Pimephales",NA,"Ostariophysi","Cypriniphysae",NA,NA,NA,NA,NA,NA,NA
NA,"OM743017.1",136,0,0,636,619,501,518,501,636,100,"51138","Pimephales notatus","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Cypriniformes","Leuciscidae","Pogonichthyinae","Pimephales",NA,"Ostariophysi","Cypriniphysae",NA,NA,NA,NA,NA,NA,NA
NA,"NC_062604.1",136,0,0,636,619,501,518,501,636,100,"197881","Pimephales tenellus","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Cypriniformes","Leuciscidae","Pogonichthyinae","Pimephales",NA,"Ostariophysi","Cypriniphysae",NA,NA,NA,NA,NA,NA,NA
NA,"OM718774.1",136,0,0,636,619,501,518,501,636,100,"197881","Pimephales tenellus","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Cypriniformes","Leuciscidae","Pogonichthyinae","Pimephales",NA,"Ostariophysi","Cypriniphysae",NA,NA,NA,NA,NA,NA,NA
NA,"OM718773.1",136,0,0,636,619,501,518,501,636,100,"197881","Pimephales tenellus","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Cypriniformes","Leuciscidae","Pogonichthyinae","Pimephales",NA,"Ostariophysi","Cypriniphysae",NA,NA,NA,NA,NA,NA,NA
NA,"OV522643.1",136,0,0,583,600,718,701,583,718,100,"52620","Pseudochondrostoma polylepis","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Cypriniformes","Leuciscidae","Leuciscinae","Pseudochondrostoma",NA,"Ostariophysi","Cypriniphysae",NA,NA,NA,NA,NA,NA,NA
NA,"MT584141.1",136,0,0,635,618,500,517,500,635,100,"58319","Scardinius erythrophthalmus","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Cypriniformes","Leuciscidae","Leuciscinae","Scardinius",NA,"Ostariophysi","Cypriniphysae",NA,NA,NA,NA,NA,NA,NA
NA,"OV522659.1",136,0,0,553,570,688,671,553,688,100,"70739","Squalius alburnoides","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Cypriniformes","Leuciscidae","Leuciscinae","Squalius",NA,"Ostariophysi","Cypriniphysae",NA,NA,NA,NA,NA,NA,NA
NA,"OV522658.1",136,0,0,553,570,688,671,553,688,100,"70739","Squalius alburnoides","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Cypriniformes","Leuciscidae","Leuciscinae","Squalius",NA,"Ostariophysi","Cypriniphysae",NA,NA,NA,NA,NA,NA,NA
NA,"OV522657.1",136,0,0,458,475,593,576,458,593,100,"70739","Squalius alburnoides","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Cypriniformes","Leuciscidae","Leuciscinae","Squalius",NA,"Ostariophysi","Cypriniphysae",NA,NA,NA,NA,NA,NA,NA
NA,"OV522660.1",136,0,0,582,599,717,700,582,717,100,"273620","Squalius carolitertii","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Cypriniformes","Leuciscidae","Leuciscinae","Squalius",NA,"Ostariophysi","Cypriniphysae",NA,NA,NA,NA,NA,NA,NA
NA,"OV522664.1",136,0,0,572,589,707,690,572,707,100,"263744","Squalius pyrenaicus","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Cypriniformes","Leuciscidae","Leuciscinae","Squalius",NA,"Ostariophysi","Cypriniphysae",NA,NA,NA,NA,NA,NA,NA
NA,"OV522663.1",136,0,0,560,577,695,678,560,695,100,"263744","Squalius pyrenaicus","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Cypriniformes","Leuciscidae","Leuciscinae","Squalius",NA,"Ostariophysi","Cypriniphysae",NA,NA,NA,NA,NA,NA,NA
NA,"OV522662.1",136,0,0,567,584,702,685,567,702,100,"263744","Squalius pyrenaicus","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Cypriniformes","Leuciscidae","Leuciscinae","Squalius",NA,"Ostariophysi","Cypriniphysae",NA,NA,NA,NA,NA,NA,NA
NA,"NC_062728.1",135,0,0,634,617,500,517,500,634,99,"2926449","Eonemachilus longidorsalis","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Cypriniformes","Nemacheilidae",NA,"Eonemachilus",NA,"Ostariophysi","Cypriniphysae",NA,NA,NA,NA,NA,NA,NA
NA,"MW548261.1",135,0,0,631,614,497,514,497,631,99,"2865735","Homatula wenshanensis","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Cypriniformes","Nemacheilidae",NA,"Homatula",NA,"Ostariophysi","Cypriniphysae",NA,NA,NA,NA,NA,NA,NA
NA,"LC601847.3",135,0,0,561,544,427,444,427,561,99,"149982","Lefua echigonia","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Cypriniformes","Nemacheilidae",NA,"Lefua",NA,"Ostariophysi","Cypriniphysae",NA,NA,NA,NA,NA,NA,NA
NA,"MW192448.1",135,0,0,632,615,498,515,498,632,99,"143400","Schistura fasciolata","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Cypriniformes","Nemacheilidae",NA,"Schistura",NA,"Ostariophysi","Cypriniphysae",NA,NA,NA,NA,NA,NA,NA
NA,"MW553077.1",135,0,0,634,617,500,517,500,634,99,"2936459","Yunnanilus niger","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Cypriniformes","Nemacheilidae",NA,"Yunnanilus",NA,"Ostariophysi","Cypriniphysae",NA,NA,NA,NA,NA,NA,NA
NA,"MW192447.1",135,0,0,635,618,501,518,501,635,99,"1758147","Yunnanilus pleurotaenia","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Cypriniformes","Nemacheilidae",NA,"Yunnanilus",NA,"Ostariophysi","Cypriniphysae",NA,NA,NA,NA,NA,NA,NA
NA,"NC_062821.1",137,0,0,640,623,504,521,504,640,101,"2928768","Aphyocypris lini","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Cypriniformes","Xenocyprididae","Xenocypridinae","Aphyocypris",NA,"Ostariophysi","Cypriniphysae",NA,NA,NA,NA,NA,NA,NA
NA,"MZ901180.1",136,0,0,638,621,503,520,503,638,100,"194366","Culter alburnus","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Cypriniformes","Xenocyprididae","Xenocypridinae","Culter",NA,"Ostariophysi","Cypriniphysae",NA,NA,NA,NA,NA,NA,NA
NA,"MZ901179.1",136,0,0,638,621,503,520,503,638,100,"194366","Culter alburnus","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Cypriniformes","Xenocyprididae","Xenocypridinae","Culter",NA,"Ostariophysi","Cypriniphysae",NA,NA,NA,NA,NA,NA,NA
NA,"MZ901178.1",136,0,0,638,621,503,520,503,638,100,"194366","Culter alburnus","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Cypriniformes","Xenocyprididae","Xenocypridinae","Culter",NA,"Ostariophysi","Cypriniphysae",NA,NA,NA,NA,NA,NA,NA
NA,"OM174271.1",135,0,1,634,617,500,517,500,634,99,"80720","Gadus macrocephalus","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Gadiformes","Gadidae",NA,"Gadus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"LC689121.1",135,0,0,501,484,367,384,367,501,99,"2649999","Luciogobius martellii","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Gobiiformes","Gobiidae","Gobionellinae","Luciogobius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"OM312054.1",134,0,0,629,612,496,513,496,629,98,"166755","Periophthalmus barbarus","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Gobiiformes","Gobiidae","Oxudercinae","Periophthalmus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"NC_062783.1",135,0,0,635,618,501,518,501,635,99,"1945516","Rhinogobius davidi","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Gobiiformes","Gobiidae","Gobionellinae","Rhinogobius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
