"gi","accession","product_length","mismatch_forward","mismatch_reverse","forward_start","forward_stop","reverse_start","reverse_stop","product_start","product_stop"
NA,"OM574935.1",136,0,0,631,614,496,513,496,631
NA,"OM574934.1",136,0,0,631,614,496,513,496,631
NA,"OM574933.1",136,0,0,631,614,496,513,496,631
NA,"OM203155.1",136,0,0,634,617,499,516,499,634
NA,"OM203154.1",136,0,0,634,617,499,516,499,634
NA,"OM312054.1",134,0,0,629,612,496,513,496,629
NA,"OM992118.1",137,0,0,645,628,509,526,509,645
NA,"MW991401.1",136,0,0,1776,1759,1641,1658,1641,1776
NA,"MW991400.1",136,0,0,1774,1757,1639,1656,1639,1774
NA,"MW991399.1",136,0,0,1776,1759,1641,1658,1641,1776
NA,"MW991398.1",136,0,0,1776,1759,1641,1658,1641,1776
NA,"MW991397.1",136,0,0,1776,1759,1641,1658,1641,1776
NA,"MW991396.1",136,0,0,637,620,502,519,502,637
NA,"MW991395.1",136,0,0,637,620,502,519,502,637
NA,"MW991394.1",136,0,0,637,620,502,519,502,637
NA,"MW991393.1",136,0,0,637,620,502,519,502,637
NA,"MW991390.1",136,0,0,637,620,502,519,502,637
NA,"MW991389.1",136,0,0,637,620,502,519,502,637
NA,"MW991388.1",136,0,0,637,620,502,519,502,637
NA,"MW991387.1",136,0,0,637,620,502,519,502,637
NA,"MW991386.1",136,0,0,637,620,502,519,502,637
NA,"MW991385.1",136,0,0,637,620,502,519,502,637
NA,"MW991383.1",136,0,0,637,620,502,519,502,637
NA,"MW991382.1",136,0,0,637,620,502,519,502,637
NA,"MW991381.1",136,0,0,637,620,502,519,502,637
NA,"MW991380.1",136,0,0,637,620,502,519,502,637
NA,"MW991379.1",136,0,0,637,620,502,519,502,637
NA,"MW991392.1",136,0,0,637,620,502,519,502,637
NA,"MW991391.1",136,0,0,637,620,502,519,502,637
NA,"MW991384.1",136,0,0,637,620,502,519,502,637
NA,"LC707238.1",135,0,0,630,613,496,513,496,630
NA,"LC706451.1",123,0,0,7321,7304,7199,7216,7199,7321
NA,"OM763872.1",135,0,0,13514,13497,13380,13397,13380,13514
NA,"OM763871.1",135,0,0,13187,13170,13053,13070,13053,13187
NA,"OM763870.1",135,0,0,13811,13794,13677,13694,13677,13811
NA,"MT874477.1",140,0,0,630,613,491,508,491,630
NA,"MT874474.1",136,0,0,1000,983,865,882,865,1000
NA,"OM974321.1",136,0,0,11709,11692,11574,11591,11574,11709
NA,"LC574978.1",136,0,0,669,652,534,551,534,669
NA,"LC574977.1",136,0,0,641,624,506,523,506,641
NA,"MT935701.1",135,0,0,631,614,497,514,497,631
NA,"MT935700.1",135,0,0,630,613,496,513,496,630
NA,"MW553077.1",135,0,0,634,617,500,517,500,634
NA,"MW553076.1",136,0,0,632,615,497,514,497,632
NA,"MW192448.1",135,0,0,632,615,498,515,498,632
NA,"MW192447.1",135,0,0,635,618,501,518,501,635
NA,"MW548265.1",136,0,0,632,615,497,514,497,632
NA,"MW548264.1",136,0,0,632,615,497,514,497,632
NA,"MW548263.1",135,0,0,631,614,497,514,497,631
NA,"MW548262.1",135,0,0,631,614,497,514,497,631
NA,"MW548261.1",135,0,0,631,614,497,514,497,631
NA,"MT916290.1",137,0,0,1372,1355,1236,1253,1236,1372
NA,"MT909814.1",136,0,0,687,670,552,569,552,687
NA,"OK442459.1",136,0,0,805,788,670,687,670,805
NA,"OM935748.1",136,0,0,646,629,511,528,511,646
NA,"OM935747.1",136,0,0,646,629,511,528,511,646
NA,"NC_062409.1",136,0,0,642,625,507,524,507,642
NA,"NC_062277.1",136,0,0,634,617,499,516,499,634
NA,"NC_062730.1",135,0,0,631,614,497,514,497,631
NA,"NC_062729.1",134,0,0,636,619,503,520,503,636
NA,"NC_062728.1",135,0,0,634,617,500,517,500,634
NA,"NC_062727.1",136,0,0,633,616,498,515,498,633
NA,"NC_062726.1",136,0,0,639,622,504,521,504,639
NA,"NC_062725.1",134,0,0,635,618,502,519,502,635
NA,"NC_062700.1",135,0,0,627,610,493,510,493,627
NA,"NC_062698.1",135,0,0,630,613,496,513,496,630
NA,"NC_062697.1",135,0,0,630,613,496,513,496,630
NA,"NC_062696.1",135,0,0,630,613,496,513,496,630
NA,"NC_062695.1",135,0,0,630,613,496,513,496,630
NA,"NC_062694.1",135,0,0,630,613,496,513,496,630
NA,"NC_062676.1",135,0,0,630,613,496,513,496,630
NA,"NC_062665.1",136,0,0,634,617,499,516,499,634
NA,"NC_062659.1",135,0,0,630,613,496,513,496,630
NA,"NC_062637.1",135,0,0,630,613,496,513,496,630
NA,"NC_062636.1",136,0,0,636,619,501,518,501,636
NA,"NC_062617.1",135,0,0,971,954,837,854,837,971
NA,"NC_062616.1",135,0,0,1112,1095,978,995,978,1112
NA,"NC_062604.1",136,0,0,636,619,501,518,501,636
NA,"MT872666.1",125,0,0,1030,1013,906,923,906,1030
NA,"MT880247.1",140,0,0,649,632,510,527,510,649
NA,"MT880246.1",140,0,0,674,657,535,552,535,674
NA,"OL940935.1",137,0,0,651,634,515,532,515,651
NA,"OK011780.1",137,0,0,640,623,504,521,504,640
NA,"LC706439.1",135,0,0,508,491,374,391,374,508
NA,"LC706438.1",135,0,0,508,491,374,391,374,508
NA,"LC706437.1",135,0,0,508,491,374,391,374,508
NA,"MT628589.1",136,0,0,635,618,500,517,500,635
NA,"MT584141.1",136,0,0,635,618,500,517,500,635
NA,"MT584130.1",135,0,0,633,616,499,516,499,633
NA,"MT483698.1",135,0,0,629,612,495,512,495,629
NA,"MW544748.1",120,0,0,616,599,497,514,497,616
NA,"OM494539.1",135,0,0,630,613,496,513,496,630
NA,"MW719077.1",136,0,0,637,620,502,519,502,637
NA,"MW694877.1",135,0,0,639,622,505,522,505,639
NA,"MT334601.1",136,0,0,500,483,365,382,365,500
NA,"MN460849.1",134,0,0,559,542,426,443,426,559
NA,"OM718774.1",136,0,0,636,619,501,518,501,636
NA,"OM718773.1",136,0,0,636,619,501,518,501,636
NA,"OM718772.1",136,0,0,636,619,501,518,501,636
NA,"OM743017.1",136,0,0,636,619,501,518,501,636
NA,"OW159452.1",136,0,0,632,615,497,514,497,632
NA,"OW121845.1",135,0,0,632,615,498,515,498,632
NA,"OW121833.1",135,0,0,19695049,19695032,19694915,19694932,19694915,19695049
NA,"OU230564.1",135,0,0,646,629,512,529,512,646
NA,"OU230563.1",135,0,0,599,582,465,482,465,599
NA,"OU230562.1",135,0,0,599,582,465,482,465,599
NA,"OU230561.1",135,0,0,600,583,466,483,466,600
NA,"OU230560.1",135,0,0,645,628,511,528,511,645
NA,"OU230559.1",135,0,0,645,628,511,528,511,645
NA,"OU230558.1",135,0,0,645,628,511,528,511,645
NA,"NC_061376.1",136,0,0,638,621,503,520,503,638
NA,"NC_061371.1",125,0,0,832,815,708,725,708,832
NA,"NC_061370.1",125,0,0,831,814,707,724,707,831
NA,"NC_061363.1",129,0,0,632,615,504,521,504,632
NA,"OK274265.1",135,0,0,638,621,504,521,504,638
NA,"OK274264.1",135,0,0,638,621,504,521,504,638
NA,"OK274261.1",136,0,0,631,614,496,513,496,631
NA,"NC_061569.1",135,0,0,636,619,502,519,502,636
NA,"NC_061567.1",136,0,0,631,614,496,513,496,631
NA,"LC689123.1",136,0,0,505,488,370,387,370,505
NA,"LC689121.1",135,0,0,501,484,367,384,367,501
NA,"LC689120.1",134,0,0,498,481,365,382,365,498
NA,"LC601847.3",135,0,0,561,544,427,444,427,561
NA,"LC689125.1",135,0,0,506,489,372,389,372,506
NA,"OL628872.1",138,0,0,2627,2610,2490,2507,2490,2627
NA,"LC685942.1",135,0,0,503,486,369,386,369,503
NA,"LC685941.1",135,0,0,501,484,367,384,367,501
NA,"LC685940.1",135,0,0,500,483,366,383,366,500
NA,"LC685938.1",136,0,0,501,484,366,383,366,501
NA,"LC685937.1",135,0,0,507,490,373,390,373,507
NA,"LC685936.1",136,0,0,502,485,367,384,367,502
NA,"LC685935.1",134,0,0,501,484,368,385,368,501
NA,"LC685934.1",136,0,0,501,484,366,383,366,501
NA,"LC685927.1",135,0,0,503,486,369,386,369,503
NA,"LC685926.1",136,0,0,506,489,371,388,371,506
NA,"MZ901180.1",136,0,0,638,621,503,520,503,638
NA,"MZ901179.1",136,0,0,638,621,503,520,503,638
NA,"MZ901178.1",136,0,0,638,621,503,520,503,638
NA,"OL752780.1",135,0,0,625,608,491,508,491,625
NA,"NC_060697.1",134,0,0,629,612,496,513,496,629
NA,"OV839371.1",137,0,0,36104213,36104230,36104349,36104332,36104213,36104349
NA,"OV839371.1",137,0,0,12424417,12424434,12424553,12424536,12424417,12424553
NA,"OV839371.1",137,1,0,5992874,5992857,5992738,5992755,5992738,5992874
NA,"OV522666.1",135,0,0,548,565,682,665,548,682
NA,"OV522665.1",135,0,0,547,564,681,664,547,681
NA,"OV522664.1",136,0,0,572,589,707,690,572,707
NA,"OV522663.1",136,0,0,560,577,695,678,560,695
NA,"OV522662.1",136,0,0,567,584,702,685,567,702
NA,"OV522661.1",132,0,0,561,578,692,675,561,692
NA,"OV522660.1",136,0,0,582,599,717,700,582,717
NA,"OV522659.1",136,0,0,553,570,688,671,553,688
NA,"OV522658.1",136,0,0,553,570,688,671,553,688
NA,"OV522657.1",136,0,0,458,475,593,576,458,593
NA,"OV522656.1",136,0,0,538,555,673,656,538,673
NA,"OV522655.1",136,0,0,538,555,673,656,538,673
NA,"OV522654.1",136,0,0,555,572,690,673,555,690
NA,"OV522653.1",136,0,0,538,555,673,656,538,673
NA,"OV522652.1",136,0,0,542,559,677,660,542,677
NA,"OV522651.1",136,0,0,549,566,684,667,549,684
NA,"OV522650.1",136,0,0,549,566,684,667,549,684
NA,"OV522649.1",136,0,0,548,565,683,666,548,683
NA,"OV522648.1",136,0,0,582,599,717,700,582,717
NA,"OV522647.1",136,0,0,573,590,708,691,573,708
NA,"OV522646.1",136,0,0,582,599,717,700,582,717
NA,"OV522645.1",136,0,0,579,596,714,697,579,714
NA,"OV522644.1",136,0,0,578,595,713,696,578,713
NA,"OV522643.1",136,0,0,583,600,718,701,583,718
NA,"OV522642.1",136,0,0,571,588,706,689,571,706
NA,"OV522641.1",135,0,0,563,580,697,680,563,697
NA,"OV522640.1",135,0,0,585,602,719,702,585,719
NA,"OV522639.1",135,0,0,563,580,697,680,563,697
NA,"OV522638.1",136,0,0,585,602,720,703,585,720
NA,"OV522637.1",135,0,0,592,609,726,709,592,726
NA,"OV522635.1",135,0,0,539,556,673,656,539,673
NA,"OV522634.1",135,0,0,547,564,681,664,547,681
NA,"OV522633.1",135,0,0,539,556,673,656,539,673
NA,"MN399859.1",135,0,0,630,613,496,513,496,630
NA,"MZ560930.1",136,0,0,627,610,492,509,492,627
NA,"MZ560929.1",136,0,0,627,610,492,509,492,627
NA,"MZ560928.1",136,0,0,627,610,492,509,492,627
NA,"MZ560927.1",136,0,0,627,610,492,509,492,627
NA,"MZ560926.1",136,0,0,627,610,492,509,492,627
NA,"MZ560925.1",136,0,0,627,610,492,509,492,627
NA,"MZ560924.1",136,0,0,627,610,492,509,492,627
NA,"MZ560923.1",136,0,0,627,610,492,509,492,627
NA,"MZ560922.1",136,0,0,627,610,492,509,492,627
NA,"MZ560921.1",136,0,0,627,610,492,509,492,627
NA,"MZ560920.1",136,0,0,627,610,492,509,492,627
NA,"MZ560919.1",136,0,0,627,610,492,509,492,627
NA,"MZ560918.1",136,0,0,627,610,492,509,492,627
NA,"MZ560915.1",136,0,0,627,610,492,509,492,627
NA,"MZ560914.1",136,0,0,627,610,492,509,492,627
NA,"MZ560913.1",136,0,0,627,610,492,509,492,627
NA,"MZ560912.1",136,0,0,627,610,492,509,492,627
NA,"MZ560911.1",136,0,0,627,610,492,509,492,627
NA,"MZ560909.1",136,0,0,627,610,492,509,492,627
NA,"MZ560908.1",136,0,0,627,610,492,509,492,627
NA,"MZ560907.1",136,0,0,627,610,492,509,492,627
NA,"MZ560906.1",136,0,0,627,610,492,509,492,627
NA,"MZ560905.1",136,0,0,627,610,492,509,492,627
NA,"MZ560904.1",136,0,0,627,610,492,509,492,627
NA,"MZ560902.1",136,0,0,627,610,492,509,492,627
NA,"MZ560901.1",136,0,0,627,610,492,509,492,627
NA,"MZ560899.1",136,0,0,627,610,492,509,492,627
NA,"MZ560895.1",136,0,0,627,610,492,509,492,627
NA,"MZ560894.1",136,0,0,627,610,492,509,492,627
NA,"MZ560893.1",136,0,0,627,610,492,509,492,627
NA,"MZ560890.1",136,0,0,627,610,492,509,492,627
NA,"MZ560889.1",136,0,0,627,610,492,509,492,627
NA,"MZ560886.1",136,0,0,627,610,492,509,492,627
NA,"MZ560885.1",136,0,0,627,610,492,509,492,627
NA,"MZ560884.1",136,0,0,627,610,492,509,492,627
NA,"MZ560883.1",136,0,0,627,610,492,509,492,627
NA,"MZ560882.1",136,0,0,627,610,492,509,492,627
NA,"MZ560881.1",136,0,0,627,610,492,509,492,627
NA,"MZ560880.1",136,0,0,627,610,492,509,492,627
NA,"MZ560879.1",136,0,0,627,610,492,509,492,627
NA,"MZ560878.1",136,0,0,627,610,492,509,492,627
NA,"MZ560877.1",136,0,0,627,610,492,509,492,627
NA,"MZ560876.1",136,0,0,627,610,492,509,492,627
NA,"MZ560875.1",136,0,0,627,610,492,509,492,627
NA,"MZ560874.1",136,0,0,627,610,492,509,492,627
NA,"MZ560873.1",136,0,0,627,610,492,509,492,627
NA,"MZ560872.1",136,0,0,627,610,492,509,492,627
NA,"MZ560871.1",136,0,0,627,610,492,509,492,627
NA,"MZ560870.1",136,0,0,627,610,492,509,492,627
NA,"MZ560869.1",136,0,0,627,610,492,509,492,627
NA,"MZ560868.1",136,0,0,627,610,492,509,492,627
NA,"MZ560867.1",136,0,0,627,610,492,509,492,627
NA,"MZ560866.1",136,0,0,627,610,492,509,492,627
NA,"MZ560865.1",136,0,0,627,610,492,509,492,627
NA,"MZ560864.1",136,0,0,627,610,492,509,492,627
NA,"MZ560863.1",136,0,0,627,610,492,509,492,627
NA,"MZ560862.1",136,0,0,627,610,492,509,492,627
NA,"MZ560858.1",136,0,0,627,610,492,509,492,627
NA,"MZ560857.1",136,0,0,627,610,492,509,492,627
NA,"MZ560856.1",136,0,0,627,610,492,509,492,627
NA,"MZ560855.1",136,0,0,627,610,492,509,492,627
NA,"MZ560854.1",136,0,0,627,610,492,509,492,627
NA,"MZ560853.1",136,0,0,627,610,492,509,492,627
NA,"MZ560851.1",136,0,0,627,610,492,509,492,627
NA,"MZ560850.1",136,0,0,627,610,492,509,492,627
NA,"MZ560849.1",136,0,0,627,610,492,509,492,627
NA,"NC_061908.1",133,0,0,11717,11700,11585,11602,11585,11717
NA,"MN366396.1",136,0,0,624,607,489,506,489,624
NA,"MN366394.1",136,0,0,619,602,484,501,484,619
NA,"LC631940.1",136,0,0,635,618,500,517,500,635
NA,"OK135155.1",136,0,0,988,971,853,870,853,988
NA,"NC_060584.1",134,0,0,633,616,500,517,500,633
NA,"NC_060500.1",138,0,0,633,616,496,513,496,633
NA,"NC_060563.1",133,0,0,638,621,506,523,506,638
NA,"NC_060494.1",136,0,0,635,618,500,517,500,635
NA,"OW443378.1",135,1,0,29036860,29036877,29036994,29036977,29036860,29036994
NA,"OW443382.1",135,1,0,634,617,500,517,500,634
NA,"OW443381.1",135,1,0,24697161,24697144,24697027,24697044,24697027,24697161
NA,"OW443373.1",135,1,0,28693961,28693944,28693827,28693844,28693827,28693961
NA,"NC_062788.1",134,0,1,632,615,499,516,499,632
NA,"NC_062787.1",134,0,1,632,615,499,516,499,632
NA,"OM677841.1",138,1,0,14923,14906,14786,14803,14786,14923
NA,"OM992117.1",137,1,0,651,634,515,532,515,651
NA,"MT874478.1",136,1,0,417,400,282,299,282,417
NA,"MT874476.1",135,1,0,632,615,498,515,498,632
NA,"MT874475.1",136,1,0,637,620,502,519,502,637
NA,"MT874473.1",136,1,0,637,620,502,519,502,637
NA,"MT874472.1",135,1,0,629,612,495,512,495,629
NA,"MT909786.1",135,0,1,625,608,491,508,491,625
NA,"MT916931.1",136,1,0,642,625,507,524,507,642
NA,"ON248971.1",135,1,0,465,448,331,348,331,465
NA,"NC_062674.1",137,1,0,644,627,508,525,508,644
NA,"NC_062624.1",145,0,1,669,652,525,542,525,669
NA,"MT872644.1",136,1,0,1215,1198,1080,1097,1080,1215
NA,"MT872643.1",136,1,0,1215,1198,1080,1097,1080,1215
NA,"MT584129.1",136,1,0,639,622,504,521,504,639
NA,"OM574772.1",135,0,1,623,606,489,506,489,623
NA,"OM574771.1",135,0,1,623,606,489,506,489,623
NA,"OM574770.1",135,0,1,623,606,489,506,489,623
NA,"OM174271.1",135,0,1,634,617,500,517,500,634
NA,"OK189508.1",138,1,0,660,643,523,540,523,660
NA,"MW719076.1",136,1,0,637,620,502,519,502,637
NA,"OM990737.1",136,1,0,1211,1194,1076,1093,1076,1211
NA,"OM990736.1",136,1,0,1211,1194,1076,1093,1076,1211
NA,"OM990735.1",136,1,0,1211,1194,1076,1093,1076,1211
NA,"OM990734.1",136,1,0,1211,1194,1076,1093,1076,1211
NA,"OM990733.1",136,1,0,1211,1194,1076,1093,1076,1211
NA,"OM990732.1",136,1,0,1211,1194,1076,1093,1076,1211
NA,"OM990731.1",136,1,0,1211,1194,1076,1093,1076,1211
NA,"OM990730.1",136,1,0,1211,1194,1076,1093,1076,1211
NA,"OM990729.1",136,1,0,1211,1194,1076,1093,1076,1211
NA,"OM990728.1",136,1,0,1211,1194,1076,1093,1076,1211
NA,"OM990727.1",136,1,0,1211,1194,1076,1093,1076,1211
NA,"OM990726.1",136,1,0,1211,1194,1076,1093,1076,1211
NA,"OM990725.1",136,1,0,1211,1194,1076,1093,1076,1211
NA,"OM990724.1",136,1,0,1211,1194,1076,1093,1076,1211
NA,"OM990723.1",136,1,0,1211,1194,1076,1093,1076,1211
NA,"OM990722.1",136,1,0,1211,1194,1076,1093,1076,1211
NA,"OM990721.1",136,1,0,1211,1194,1076,1093,1076,1211
NA,"OM990720.1",136,1,0,1211,1194,1076,1093,1076,1211
NA,"OM990719.1",136,1,0,1211,1194,1076,1093,1076,1211
NA,"OM990718.1",136,1,0,1211,1194,1076,1093,1076,1211
NA,"OM990717.1",136,1,0,1211,1194,1076,1093,1076,1211
NA,"OM990716.1",136,1,0,1211,1194,1076,1093,1076,1211
NA,"OM990715.1",136,1,0,1211,1194,1076,1093,1076,1211
NA,"OM990714.1",136,1,0,1211,1194,1076,1093,1076,1211
NA,"OM990713.1",136,1,0,1211,1194,1076,1093,1076,1211
NA,"OM990712.1",136,1,0,1211,1194,1076,1093,1076,1211
NA,"OM990711.1",136,1,0,1211,1194,1076,1093,1076,1211
NA,"OM990710.1",136,1,0,1211,1194,1076,1093,1076,1211
NA,"OM990709.1",136,1,0,1211,1194,1076,1093,1076,1211
NA,"MZ736708.1",137,1,0,636,619,500,517,500,636
NA,"MZ736707.1",137,1,0,636,619,500,517,500,636
NA,"MZ736706.1",137,1,0,636,619,500,517,500,636
NA,"MZ736705.1",137,1,0,636,619,500,517,500,636
NA,"MZ736704.1",137,1,0,636,619,500,517,500,636
NA,"MZ736703.1",137,1,0,636,619,500,517,500,636
NA,"MZ736702.1",137,1,0,636,619,500,517,500,636
NA,"MZ736701.1",137,1,0,636,619,500,517,500,636
NA,"MZ736700.1",137,1,0,636,619,500,517,500,636
NA,"MZ736699.1",137,1,0,636,619,500,517,500,636
NA,"MZ736698.1",137,1,0,636,619,500,517,500,636
NA,"MZ736697.1",137,1,0,636,619,500,517,500,636
NA,"MZ736696.1",137,1,0,636,619,500,517,500,636
NA,"MZ736695.1",137,1,0,636,619,500,517,500,636
NA,"MZ736694.1",137,1,0,636,619,500,517,500,636
NA,"MZ736693.1",137,1,0,636,619,500,517,500,636
NA,"MW803833.1",136,1,0,153,170,288,271,153,288
NA,"NC_061372.1",135,0,1,638,621,504,521,504,638
NA,"NC_061570.1",136,1,0,636,619,501,518,501,636
NA,"NC_061537.1",135,1,0,633,616,499,516,499,633
NA,"LC689122.1",135,1,0,507,490,373,390,373,507
NA,"LC689124.1",136,1,0,504,487,369,386,369,504
NA,"NC_061698.1",138,1,0,1890,1873,1753,1770,1753,1890
NA,"LC685943.1",136,0,1,515,498,380,397,380,515
NA,"LC685939.1",141,1,0,509,492,369,386,369,509
NA,"LC685933.1",134,1,0,498,481,365,382,365,498
NA,"LC685929.1",136,1,0,505,488,370,387,370,505
NA,"LC685928.1",128,0,1,495,478,368,385,368,495
NA,"MK460537.1",136,1,0,1214,1197,1079,1096,1079,1214
NA,"MK460536.1",136,1,0,1214,1197,1079,1096,1079,1214
NA,"MK460535.1",136,1,0,1212,1195,1077,1094,1077,1212
NA,"MK460534.1",136,1,0,1214,1197,1079,1096,1079,1214
NA,"MK460533.1",136,1,0,1214,1197,1079,1096,1079,1214
NA,"MK460532.1",136,1,0,1214,1197,1079,1096,1079,1214
NA,"MK460531.1",136,1,0,1212,1195,1077,1094,1077,1212
NA,"MK460530.1",136,1,0,1214,1197,1079,1096,1079,1214
NA,"MK460529.1",136,1,0,1214,1197,1079,1096,1079,1214
NA,"MK460528.1",136,1,0,1214,1197,1079,1096,1079,1214
NA,"MK460527.1",136,1,0,1213,1196,1078,1095,1078,1213
NA,"MK460526.1",136,1,0,1212,1195,1077,1094,1077,1212
NA,"MK460525.1",136,1,0,1213,1196,1078,1095,1078,1213
NA,"MK460524.1",136,1,0,1213,1196,1078,1095,1078,1213
NA,"MK460523.1",136,1,0,1212,1195,1077,1094,1077,1212
NA,"MK460522.1",136,1,0,1211,1194,1076,1093,1076,1211
NA,"MK460521.1",136,1,0,1212,1195,1077,1094,1077,1212
NA,"MK460520.1",136,1,0,1213,1196,1078,1095,1078,1213
NA,"MK460519.1",136,1,0,1212,1195,1077,1094,1077,1212
NA,"MK460518.1",136,1,0,1212,1195,1077,1094,1077,1212
NA,"MK460517.1",136,1,0,1212,1195,1077,1094,1077,1212
NA,"MK460516.1",136,1,0,1213,1196,1078,1095,1078,1213
NA,"MK460515.1",136,1,0,1213,1196,1078,1095,1078,1213
NA,"MK460514.1",136,1,0,1213,1196,1078,1095,1078,1213
NA,"MK460513.1",136,1,0,1210,1193,1075,1092,1075,1210
NA,"MK460512.1",136,1,0,1213,1196,1078,1095,1078,1213
NA,"MK460511.1",136,1,0,1211,1194,1076,1093,1076,1211
NA,"MK460510.1",136,1,0,1211,1194,1076,1093,1076,1211
NA,"MK460509.1",136,1,0,1213,1196,1078,1095,1078,1213
NA,"NC_060673.1",138,1,0,660,643,523,540,523,660
NA,"NC_061914.1",139,1,0,838,821,700,717,700,838
NA,"OL335994.1",137,0,1,648,631,512,529,512,648
NA,"OV522636.1",135,0,1,563,580,697,680,563,697
NA,"MK134325.2",136,1,0,1214,1197,1079,1096,1079,1214
NA,"MK134318.2",136,1,0,1214,1197,1079,1096,1079,1214
NA,"MK134316.2",136,1,0,1213,1196,1078,1095,1078,1213
NA,"MW698683.2",136,1,0,1212,1195,1077,1094,1077,1212
NA,"MW698682.2",136,1,0,1213,1196,1078,1095,1078,1213
NA,"MW698681.2",136,1,0,1213,1196,1078,1095,1078,1213
NA,"MW698680.2",136,1,0,1215,1198,1080,1097,1080,1215
NA,"MW698679.2",136,1,0,1211,1194,1076,1093,1076,1211
NA,"MW698678.2",136,1,0,1213,1196,1078,1095,1078,1213
NA,"MW698677.2",136,1,0,1213,1196,1078,1095,1078,1213
NA,"MW698676.2",136,1,0,1213,1196,1078,1095,1078,1213
NA,"MW698675.2",136,1,0,1212,1195,1077,1094,1077,1212
NA,"MW698674.2",136,1,0,1212,1195,1077,1094,1077,1212
NA,"MW698673.2",136,1,0,1213,1196,1078,1095,1078,1213
NA,"MW698672.2",136,1,0,1210,1193,1075,1092,1075,1210
NA,"MW698671.2",136,1,0,1213,1196,1078,1095,1078,1213
NA,"MW698670.2",136,1,0,1213,1196,1078,1095,1078,1213
NA,"MW698669.2",136,1,0,1210,1193,1075,1092,1075,1210
