"gi","accession","product_length","mismatch_forward","mismatch_reverse","forward_start","forward_stop","reverse_start","reverse_stop","product_start","product_stop","amplicon_length","taxid","species","superkingdom","kingdom","phylum","subphylum","superclass","class","subclass","order","family","subfamily","genus","infraorder","subcohort","superorder","superfamily","tribe","subspecies","subgenus","species.group","parvorder","varietas"
NA,"LC717520.1",136,0,0,503,486,368,385,368,503,100,86235,"Eleotris oxycephala","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Gobiiformes","Eleotridae","Eleotrinae","Eleotris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"LC717531.1",136,0,0,504,487,369,386,369,504,100,86239,"Hypseleotris cyprinoides","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Gobiiformes","Eleotridae","Eleotrinae","Hypseleotris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"LC717530.1",136,0,0,504,487,369,386,369,504,100,86239,"Hypseleotris cyprinoides","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Gobiiformes","Eleotridae","Eleotrinae","Hypseleotris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"LC717550.1",132,0,0,498,481,367,384,367,498,96,267130,"Acanthogobius hasta","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Gobiiformes","Gobiidae","Gobionellinae","Acanthogobius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"LC717562.1",135,0,0,502,485,368,385,368,502,99,249131,"Clariger cosmurus","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Gobiiformes","Gobiidae","Gobionellinae","Clariger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"LC278210.3",135,0,0,532,515,398,415,398,532,99,2012973,"Clariger sp. CBM:ZF:17769","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Gobiiformes","Gobiidae","Gobionellinae","Clariger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"LC717549.1",136,0,0,504,487,369,386,369,504,100,178220,"Gymnogobius isaza","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Gobiiformes","Gobiidae","Gobionellinae","Gymnogobius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"LC717548.1",136,0,0,504,487,369,386,369,504,100,178220,"Gymnogobius isaza","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Gobiiformes","Gobiidae","Gobionellinae","Gymnogobius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"LC717542.1",136,0,0,503,486,368,385,368,503,100,178216,"Gymnogobius uchidai","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Gobiiformes","Gobiidae","Gobionellinae","Gymnogobius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"LC720446.1",136,0,0,506,489,371,388,371,506,100,178221,"Gymnogobius urotaenia","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Gobiiformes","Gobiidae","Gobionellinae","Gymnogobius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"LC720444.1",135,1,0,502,485,368,385,368,502,99,1231921,"Istigobius campbelli","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Gobiiformes","Gobiidae","Gobiinae","Istigobius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"LC720447.1",135,1,0,501,484,367,384,367,501,99,2603558,"Luciogobius ama","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Gobiiformes","Gobiidae","Gobionellinae","Luciogobius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"LC496248.2",135,1,0,501,484,367,384,367,501,99,2603558,"Luciogobius ama","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Gobiiformes","Gobiidae","Gobionellinae","Luciogobius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"LC717526.1",135,0,0,502,485,368,385,368,502,99,228541,"Luciogobius guttatus","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Gobiiformes","Gobiidae","Gobionellinae","Luciogobius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"LC717556.1",135,0,0,501,484,367,384,367,501,99,2649999,"Luciogobius martellii","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Gobiiformes","Gobiidae","Gobionellinae","Luciogobius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"LC717555.1",135,0,0,501,484,367,384,367,501,99,2649999,"Luciogobius martellii","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Gobiiformes","Gobiidae","Gobionellinae","Luciogobius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"LC717554.1",135,0,0,501,484,367,384,367,501,99,646536,"Luciogobius parvulus","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Gobiiformes","Gobiidae","Gobionellinae","Luciogobius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"LC717553.1",135,0,0,501,484,367,384,367,501,99,646536,"Luciogobius parvulus","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Gobiiformes","Gobiidae","Gobionellinae","Luciogobius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"LC717552.1",135,0,0,501,484,367,384,367,501,99,646536,"Luciogobius parvulus","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Gobiiformes","Gobiidae","Gobionellinae","Luciogobius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"LC717551.1",135,0,0,501,484,367,384,367,501,99,646536,"Luciogobius parvulus","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Gobiiformes","Gobiidae","Gobionellinae","Luciogobius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"LC499436.2",135,0,0,501,484,367,384,367,501,99,646536,"Luciogobius parvulus","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Gobiiformes","Gobiidae","Gobionellinae","Luciogobius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"LC499435.2",135,0,0,502,485,368,385,368,502,99,646537,"Luciogobius platycephalus","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Gobiiformes","Gobiidae","Gobionellinae","Luciogobius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"LC499441.2",135,0,0,502,485,368,385,368,502,99,2608502,"Luciogobius sp. HOSO-MIMIZU-HAZE","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Gobiiformes","Gobiidae","Gobionellinae","Luciogobius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"LC499443.2",135,0,0,503,486,369,386,369,503,99,2608505,"Luciogobius sp. MIZUHIKI-NAGA-MIMIZU-HAZE","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Gobiiformes","Gobiidae","Gobionellinae","Luciogobius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"LC720454.1",133,0,0,501,484,369,386,369,501,97,2768286,"Parioglossus palustris","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Gobiiformes","Gobiidae","Ptereleotrinae","Parioglossus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"LC717541.1",136,0,0,504,487,369,386,369,504,100,762042,"Pseudogobius masago","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Gobiiformes","Gobiidae","Gobionellinae","Pseudogobius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"LC717517.1",134,0,0,506,489,373,390,373,506,98,293145,"Rhinogobius flumineus","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Gobiiformes","Gobiidae","Gobionellinae","Rhinogobius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"LC717516.1",134,0,0,510,493,377,394,377,510,98,293145,"Rhinogobius flumineus","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Gobiiformes","Gobiidae","Gobionellinae","Rhinogobius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"LC717560.1",134,0,0,504,487,371,388,371,504,98,1544528,"Rhinogobius nagoyae","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Gobiiformes","Gobiidae","Gobionellinae","Rhinogobius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"LC717559.1",134,0,0,504,487,371,388,371,504,98,1544528,"Rhinogobius nagoyae","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Gobiiformes","Gobiidae","Gobionellinae","Rhinogobius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"LC717558.1",134,0,0,504,487,371,388,371,504,98,1544528,"Rhinogobius nagoyae","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Gobiiformes","Gobiidae","Gobionellinae","Rhinogobius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"LC717519.1",136,0,0,503,486,368,385,368,503,100,1263952,"Rhinogobius similis","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Gobiiformes","Gobiidae","Gobionellinae","Rhinogobius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"LC717518.1",136,0,0,503,486,368,385,368,503,100,1263952,"Rhinogobius similis","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Gobiiformes","Gobiidae","Gobionellinae","Rhinogobius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"LC717527.1",136,0,0,503,486,368,385,368,503,100,363549,"Sicyopterus japonicus","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Gobiiformes","Gobiidae","Sicydiinae","Sicyopterus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"LC717529.1",134,1,0,498,481,365,382,365,498,98,88147,"Tridentiger barbatus","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Gobiiformes","Gobiidae","Gobionellinae","Tridentiger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"LC720450.1",136,1,0,502,485,367,384,367,502,100,86244,"Odontobutis obscura","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Gobiiformes","Odontobutidae",NA,"Odontobutis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"LC579194.2",137,0,0,503,486,367,384,367,503,101,2768272,"Xenisthmus clarus","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Gobiiformes","Xenisthmidae",NA,"Xenisthmus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"LC340230.2",137,0,0,504,487,368,385,368,504,101,2057103,"Xenisthmus sp. KURO-YANAGIHAZE","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Gobiiformes","Xenisthmidae",NA,"Xenisthmus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"NC_065150.1",135,1,0,636,619,502,519,502,636,99,290113,"Cheilinus trilobatus","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Labriformes","Labridae",NA,"Cheilinus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"LC717546.1",135,0,0,504,487,370,387,370,504,99,1856567,"Cirrhilabrus lanceolatus","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Labriformes","Labridae",NA,"Cirrhilabrus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"LC545442.1",135,0,0,629,612,495,512,495,629,99,171735,"Ctenolabrus rupestris","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Labriformes","Labridae",NA,"Ctenolabrus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"MZ269266.1",135,0,0,631,614,497,514,497,631,99,360505,"Hapalogenys analis","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Lobotiformes","Hapalogenyidae",NA,"Hapalogenys",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"ON262567.1",135,0,0,640,623,506,523,506,640,99,48193,"Mugil cephalus","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Mugiliformes","Mugilidae",NA,"Mugil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"LC715360.1",135,1,0,627,610,493,510,493,627,99,136040,"Spirinchus lanceolatus","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Osmeriformes","Osmeridae","Osmerinae","Spirinchus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"LC717547.1",135,0,0,500,483,366,383,366,500,99,223803,"Malakichthys wakiyae","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Pempheriformes","Acropomatidae",NA,"Malakichthys",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"LC717523.1",135,0,0,500,483,366,383,366,500,99,239743,"Myoxocephalus stelleri","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Perciformes","Cottidae",NA,"Myoxocephalus","Cottales",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"LC717543.1",135,0,0,500,483,366,383,366,500,99,290630,"Trachidermus fasciatus","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Perciformes","Cottidae",NA,"Trachidermus","Cottales",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"LC717524.1",135,0,0,501,484,367,384,367,501,99,72450,"Hexagrammos otakii","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Perciformes","Hexagrammidae",NA,"Hexagrammos","Hexagrammales",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"MZ779011.1",135,0,1,9839,9856,9973,9956,9839,9973,99,8213,"Pagothenia borchgrevinki","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Perciformes","Nototheniidae",NA,"Pagothenia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"MZ779012.1",135,0,1,10646,10663,10780,10763,10646,10780,99,40690,"Trematomus bernacchii","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Perciformes","Nototheniidae",NA,"Trematomus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"MZ779013.1",135,0,1,10483,10500,10617,10600,10483,10617,99,36197,"Trematomus nicolai","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Perciformes","Nototheniidae",NA,"Trematomus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"ON860607.1",135,1,0,381,364,247,264,247,381,99,255462,"Etheostoma burri","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Perciformes","Percidae","Etheostomatinae","Etheostoma",NA,NA,NA,NA,NA,NA,"Oligocephalus",NA,NA,NA
NA,"ON860608.1",135,0,0,281,264,147,164,147,281,99,1070298,"Etheostoma mihileze","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Perciformes","Percidae","Etheostomatinae","Etheostoma",NA,NA,NA,NA,NA,NA,"Ozarka",NA,NA,NA
NA,"ON860604.1",135,0,0,292,275,158,175,158,292,99,511796,"Percina fulvitaenia","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Perciformes","Percidae","Etheostomatinae","Percina",NA,NA,NA,NA,NA,NA,"Percina",NA,NA,NA
NA,"ON856536.1",135,0,0,293,276,159,176,159,293,99,57866,"Percina maculata","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Perciformes","Percidae","Etheostomatinae","Percina",NA,NA,NA,NA,NA,NA,"Alvordius",NA,NA,NA
NA,"ON860606.1",135,0,0,294,277,160,177,160,294,99,54340,"Percina phoxocephala","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Perciformes","Percidae","Etheostomatinae","Percina",NA,NA,NA,NA,NA,NA,"Swainia",NA,NA,NA
NA,"LC720445.1",135,0,0,502,485,368,385,368,502,99,323802,"Epinephelus bruneus","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Perciformes","Serranidae","Epinephelinae","Epinephelus",NA,NA,NA,NA,"Epinephelini",NA,NA,NA,NA,NA
NA,"LC720449.1",135,0,0,499,482,365,382,365,499,99,255557,"Lepidotrigla microptera","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Perciformes","Triglidae",NA,"Lepidotrigla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"LC717561.1",135,0,0,501,484,367,384,367,501,99,153719,"Bothrocara hollandi","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Perciformes","Zoarcidae","Lycodinae","Bothrocara","Zoarcales",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"LC717534.1",132,0,0,498,481,367,384,367,498,96,253863,"Pseudorhombus arsius","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Pleuronectiformes","Paralichthyidae",NA,"Pseudorhombus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"LC717535.1",132,0,0,498,481,367,384,367,498,96,171416,"Pseudorhombus cinnamoneus","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Pleuronectiformes","Paralichthyidae",NA,"Pseudorhombus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"LC717563.1",135,0,0,499,482,365,382,365,499,99,74940,"Oncorhynchus tshawytscha","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Salmoniformes","Salmonidae","Salmoninae","Oncorhynchus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"MZ571355.1",135,0,0,628,611,494,511,494,628,99,85061,"Salvelinus alpinus","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Salmoniformes","Salmonidae","Salmoninae","Salvelinus",NA,NA,NA,NA,NA,"Salvelinus alpinus alpinus",NA,NA,NA,NA
NA,"MZ571354.1",135,0,0,628,611,494,511,494,628,99,85062,"Salvelinus alpinus","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Salmoniformes","Salmonidae","Salmoninae","Salvelinus",NA,NA,NA,NA,NA,"Salvelinus alpinus erythrinus",NA,NA,NA,NA
NA,"MZ571353.1",135,0,0,628,611,494,511,494,628,99,85062,"Salvelinus alpinus","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Salmoniformes","Salmonidae","Salmoninae","Salvelinus",NA,NA,NA,NA,NA,"Salvelinus alpinus erythrinus",NA,NA,NA,NA
NA,"MZ571352.1",135,0,0,628,611,494,511,494,628,99,152110,"Salvelinus drjagini","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Salmoniformes","Salmonidae","Salmoninae","Salvelinus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"LC720455.1",135,0,0,502,485,368,385,368,502,99,13662,"Ruvettus pretiosus","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Scombriformes","Gempylidae",NA,"Ruvettus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
